Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"MX3","1u","MXOnly-1U-NoLED",47.100000,-9.000000,0.000000,top
"MX4","1u","MXOnly-1U-NoLED",66.150000,-9.000000,0.000000,top
"MX5","1u","MXOnly-1U-NoLED",85.200000,-9.000000,0.000000,top
"MX6","1u","MXOnly-1U-NoLED",104.250000,-9.000000,0.000000,top
"MX7","1u","MXOnly-1U-NoLED",123.300000,-9.000000,0.000000,top
"MX8","1u","MXOnly-1U-NoLED",142.350000,-9.000000,0.000000,top
"MX9","1u","MXOnly-1U-NoLED",161.400000,-9.000000,0.000000,top
"MX10","1u","MXOnly-1U-NoLED",180.450000,-9.000000,0.000000,top
"MX11","1u","MXOnly-1U-NoLED",199.500000,-9.000000,0.000000,top
"MX12","1u","MXOnly-1U-NoLED",218.550000,-9.000000,0.000000,top
"MX13","1u","MXOnly-1U-NoLED",237.600000,-9.000000,0.000000,top
"MX14","1u","MXOnly-1U-NoLED",256.650000,-9.000000,0.000000,top
"MX15","1u","MXOnly-1U-NoLED",275.700000,-9.000000,0.000000,top
"MX16","2u","MXOnly-2U-NoLED",266.175000,-9.000000,0.000000,top
"MX17","1.5u","MXOnly-1.5U-NoLED",13.762500,-28.050000,0.000000,top
"MX18","1u","MXOnly-1U-NoLED",37.575000,-28.050000,0.000000,top
"MX19","1u","MXOnly-1U-NoLED",56.625000,-28.050000,0.000000,top
"MX20","1u","MXOnly-1U-NoLED",75.675000,-28.050000,0.000000,top
"MX21","1u","MXOnly-1U-NoLED",94.725000,-28.050000,0.000000,top
"MX22","1u","MXOnly-1U-NoLED",113.775000,-28.050000,0.000000,top
"MX23","1u","MXOnly-1U-NoLED",132.825000,-28.050000,0.000000,top
"MX24","1u","MXOnly-1U-NoLED",151.875000,-28.050000,0.000000,top
"MX25","1u","MXOnly-1U-NoLED",170.925000,-28.050000,0.000000,top
"MX26","1u","MXOnly-1U-NoLED",189.975000,-28.050000,0.000000,top
"MX27","1u","MXOnly-1U-NoLED",209.025000,-28.050000,0.000000,top
"MX28","1u","MXOnly-1U-NoLED",228.075000,-28.050000,0.000000,top
"MX29","1u","MXOnly-1U-NoLED",247.125000,-28.050000,0.000000,top
"MX30","1.5u","MXOnly-1.5U-NoLED",270.937500,-28.050000,0.000000,top
"MX31","1.25u","MXOnly-1.25U-NoLED",11.381250,-47.100000,0.000000,top
"MX32","1.75u","MXOnly-1.75U-NoLED",16.143750,-47.100000,0.000000,top
"MX33","1u","MXOnly-1U-NoLED",42.337500,-47.100000,0.000000,top
"MX34","1u","MXOnly-1U-NoLED",61.387500,-47.100000,0.000000,top
"MX35","1u","MXOnly-1U-NoLED",80.437500,-47.100000,0.000000,top
"MX36","1u","MXOnly-1U-NoLED",99.487500,-47.100000,0.000000,top
"MX37","1u","MXOnly-1U-NoLED",118.537500,-47.100000,0.000000,top
"MX38","1u","MXOnly-1U-NoLED",137.587500,-47.100000,0.000000,top
"MX39","1u","MXOnly-1U-NoLED",156.637500,-47.100000,0.000000,top
"MX40","1u","MXOnly-1U-NoLED",175.687500,-47.100000,0.000000,top
"MX41","1u","MXOnly-1U-NoLED",194.737500,-47.100000,0.000000,top
"MX42","1u","MXOnly-1U-NoLED",213.787500,-47.100000,0.000000,top
"MX43","1u","MXOnly-1U-NoLED",232.837500,-47.100000,0.000000,top
"MX44","2.25u","MXOnly-2.25U-NoLED",263.793750,-47.100000,0.000000,top
"MX45","2.25u","MXOnly-2.25U-NoLED",20.906250,-66.150000,0.000000,top
"MX46","1u","MXOnly-1U-NoLED",51.862500,-66.150000,0.000000,top
"MX47","1u","MXOnly-1U-NoLED",70.912500,-66.150000,0.000000,top
"MX48","1u","MXOnly-1U-NoLED",89.962500,-66.150000,0.000000,top
"MX49","1u","MXOnly-1U-NoLED",109.012500,-66.150000,0.000000,top
"MX50","1u","MXOnly-1U-NoLED",128.062500,-66.150000,0.000000,top
"MX51","1u","MXOnly-1U-NoLED",147.112500,-66.150000,0.000000,top
"MX52","1u","MXOnly-1U-NoLED",166.162500,-66.150000,0.000000,top
"MX53","1u","MXOnly-1U-NoLED",185.212500,-66.150000,0.000000,top
"MX54","1u","MXOnly-1U-NoLED",204.262500,-66.150000,0.000000,top
"MX55","1u","MXOnly-1U-NoLED",223.312500,-66.150000,0.000000,top
"MX56","1.75u","MXOnly-1.75U-NoLED",249.506250,-66.150000,0.000000,top
"MX57","1u","MXOnly-1U-NoLED",275.700000,-66.150000,0.000000,top
"MX58","2.75u","MXOnly-2.75U-NoLED",259.031250,-66.150000,0.000000,top
"MX59","1.25u","MXOnly-1.25U-NoLED",11.381250,-85.200000,0.000000,top
"MX60","1.25u","MXOnly-1.25U-NoLED",35.193750,-85.200000,0.000000,top
"MX61","1.25u","MXOnly-1.25U-NoLED",59.006250,-85.200000,0.000000,top
"MX62","2.25U","MXOnly-2.25U-ReversedStabilizers-NoLED",92.343750,-85.200000,0.000000,top
"MX63","2.75U","MXOnly-2.75U-ReversedStabilizers-NoLED",97.106250,-85.200000,0.000000,top
"MX64","1.25U","MXOnly-1.25U-NoLED",125.681250,-85.200000,0.000000,top
"MX65","1.25U","MXOnly-1.25U-NoLED",135.206250,-85.200000,0.000000,top
"MX66","2.75U","MXOnly-2.75U-ReversedStabilizers-NoLED",163.781250,-85.200000,0.000000,top
"MX67","2.25U","MXOnly-2.25U-ReversedStabilizers-NoLED",168.543750,-85.200000,0.000000,top
"MX68","1.25u","MXOnly-1.25U-NoLED",201.881250,-85.200000,0.000000,top
"MX69","1.25u","MXOnly-1.25U-NoLED",225.693750,-85.200000,0.000000,top
"MX70","1.25u","MXOnly-1.25U-NoLED",249.506250,-85.200000,0.000000,top
"MX71","1.25u","MXOnly-1.25U-NoLED",273.318750,-85.200000,0.000000,top
